environment,condition,n_seeds,final_eval_mean,final_eval_std,final_eval_ci_low,final_eval_ci_high,auc_mean,auc_std,auc_ci_low,auc_ci_high,sample_efficiency_median_steps,success_rate,threshold
Blackjack-v1,random,5,-0.39899999999999997,0.05651548460377918,-0.439,-0.347,,,,,,0.0,0.05
Blackjack-v1,default,5,-0.07333333333333333,0.12892719737209143,-0.17666666666666667,0.04683333333333316,-0.07733333333333334,0.031795352560467775,-0.10316666666666667,-0.04866666666666667,10000.0,1.0,0.05
Blackjack-v1,human,5,-0.07999999999999999,0.11421227799341208,-0.19,-1.3877787807814458e-18,-0.06816666666666668,0.026715580140102183,-0.09133333333333334,-0.0445,15000.0,1.0,0.05
Blackjack-v1,llm,5,-0.16333333333333333,0.049888765156985884,-0.2033333333333333,-0.1215833333333334,-0.16899999999999998,0.03872050849069234,-0.2001666666666667,-0.1358333333333333,20000.0,1.0,0.05
CartPole-v1,random,5,21.71,0.5989073384088736,21.184999999999995,22.28245,,,,,,0.0,475.0
CartPole-v1,default,5,500.0,0.0,500.0,500.0,458.01800000000003,2.887419436105528,455.5835375,460.24449999999996,20000.0,1.0,475.0
CartPole-v1,human,5,500.0,0.0,500.0,500.0,457.3785,5.716108291486444,451.3845,461.56723750000003,20000.0,1.0,475.0
CartPole-v1,llm,5,450.5733333333334,14.909600188394647,440.27333333333337,465.3933333333333,356.29350000000005,20.21463471102062,335.4755,371.420825,70000.0,1.0,475.0
LunarLander-v3,random,5,-187.04182358426934,8.044638022281362,-194.92341090599172,-180.0012905456693,,,,,,0.0,200.0
LunarLander-v3,default,5,145.08947248436283,66.19245716948002,88.31419291935217,201.86475204937352,-107.32750982299339,46.01387650522293,-151.3255464108782,-69.13960185458187,195000.0,0.6,200.0
LunarLander-v3,human,5,-13.062969821906638,63.013472694455416,-65.4419777376572,42.52878429562101,-236.50855958925044,55.25874146259533,-283.47684436631806,-189.15095322918734,,0.0,200.0
LunarLander-v3,llm,5,104.26457411789738,40.99433488765451,68.49366693557766,140.0354813002171,-224.03575248319572,104.19078349684986,-314.0627479463269,-134.74496065435116,,0.0,200.0
MountainCar-v0,random,5,-200.0,0.0,-200.0,-200.0,,,,,,0.0,-110.0
MountainCar-v0,default,5,-200.0,0.0,-200.0,-200.0,-195.0,0.0,-195.0,-195.0,,0.0,-110.0
MountainCar-v0,human,5,-200.0,0.0,-200.0,-200.0,-195.0,0.0,-195.0,-195.0,,0.0,-110.0
MountainCar-v0,llm,5,-200.0,0.0,-200.0,-200.0,-195.0,0.0,-195.0,-195.0,,0.0,-110.0
